ignore 0
ignore 1
ignore 2
ignore 3
ignore 4
ignore 5
ignore 6
ignore 7
ignore 8
ignore 9
ignore 10
ignore 11
ignore 12
ignore 13
ignore 14
ignore 15
ignore 16
ignore 17
ignore 18
mpid	firstname	surname	party	PublicWhip URL
8	Theresa	May	Con	<empty>
14	John	Redwood	Con	<empty>
18	Cheryl	Gillan	Con	<empty>
36	Eleanor	Laing	Con	<empty>
39	John	Whittingdale	Con	<empty>
40	Bernard	Jenkin	Con	<empty>
44	David	Amess	Con	<empty>
54	Julian	Lewis	Con	<empty>
55	Desmond	Swayne	Con	<empty>
62	Alan	Whitehead	Lab	<empty>
69	Oliver	Heald	Con	<empty>
76	Damian	Green	Con	<empty>
87	Roger	Gale	Con	<empty>
103	Paul	Beresford	Con	<empty>
104	Crispin	Blunt	Con	<empty>
111	Nick	Gibb	Con	<empty>
114	Tim	Loughton	Con	<empty>
117	Peter	Bottomley	Con	<empty>
140	Margaret	Hodge	Lab	<empty>
146	Barry	Gardiner	Lab	<empty>
150	Harriet	Harman	Lab	<empty>
152	Iain	Duncan Smith	Con	<empty>
155	Geraint	Davies	Lab	<empty>
163	Stephen	Timms	Lab	<empty>
165	Clive	Efford	Lab	<empty>
172	Diane	Abbott	Lab	<empty>
177	Gareth	Thomas	Lab	<empty>
178	John	McDonnell	Lab	<empty>
181	John	Cryer	Lab	<empty>
185	Jeremy	Corbyn	Lab	<empty>
188	Edward	Davey	LD	<empty>
193	Siobhain	McDonagh	Lab	<empty>
199	Karen	Buck	Lab	<empty>
206	David	Lammy	Lab	<empty>
223	Liam	Fox	Con	<empty>
230	Ben	Bradshaw	Lab	<empty>
234	Gary	Streeter	Con	<empty>
242	Christopher	Chope	Con	<empty>
245	Robert	Syms	Con	<empty>
249	Geoffrey	Clifton-Brown	Con	<empty>
253	Laurence	Robertson	Con	<empty>
261	James	Gray	Con	<empty>
274	Owen	Paterson	Con	<empty>
280	Michael	Fabricant	Con	<empty>
288	William	Cash	Con	<empty>
298	Steve	McCabe	Lab	<empty>
318	John	Spellar	Lab	<empty>
328	Margaret	Beckett	Lab	<empty>
345	Edward	Leigh	Con	<empty>
350	John	Hayes	Con	<empty>
373	David	Davis	Con	<empty>
390	Rosie	Winterton	Lab	<empty>
394	Clive	Betts	Lab	<empty>
400	John	Healey	Lab	<empty>
410	Jon	Trickett	Lab	<empty>
411	Barry	Sheerman	Lab	<empty>
413	Hilary	Benn	Lab	<empty>
415	Fabian	Hamilton	Lab	<empty>
420	Yvette	Cooper	Lab	<empty>
429	Derek	Twigg	Lab	<empty>
435	Graham	Brady	Con	<empty>
449	Graham	Stringer	Lab	<empty>
450	Tony	Lloyd	Lab	<empty>
467	Lindsay	Hoyle	Spk	<empty>
473	Mark	Hendrick	Lab	<empty>
474	Nigel	Evans	Con	<empty>
481	George	Howarth	Lab	<empty>
483	Maria	Eagle	Lab	<empty>
491	Angela	Eagle	Lab	<empty>
523	Nicholas	Brown	Lab	<empty>
529	Alan	Campbell	Lab	<empty>
609	George	Galloway	WPB	<empty>
650	Jeffrey	M Donaldson	DUP	<empty>
1171	Liam	Byrne	Lab	<empty>
1198	David	Evennett	Con	<empty>
1200	Greg	Knight	Con	<empty>
1211	Andrew	Mitchell	Con	<empty>
1383	Mark	Tami	Lab	<empty>
1390	John	Baron	Con	<empty>
1392	Khalid	Mahmood	Lab	<empty>
1396	Ian	Liddell-Grainger	Con	<empty>
1397	Hywel	Williams	PC	<empty>
1398	Wayne	David	Lab	<empty>
1400	Kevin	Brennan	Lab	<empty>
1406	Jon	Cruddas	Lab	<empty>
1409	Gregory	Campbell	DUP	<empty>
1413	Chris	Grayling	Con	<empty>
1416	Michelle	Gildernew	SF	<empty>
1423	Boris	Johnson	Con	<empty>
1425	Jonathan	Djanogly	Con	<empty>
1428	Bill	Wiggin	Con	<empty>
1438	Kevan	Jones	Lab	<empty>
1440	Pete	Wishart	SNP	<empty>
1442	Alistair	Carmichael	LD	<empty>
1444	Mark	Francois	Con	<empty>
1446	Chris	Bryant	Lab	<empty>
1447	Andrew	Rosindell	Con	<empty>
1451	Richard	Bacon	Con	<empty>
1453	Andrew	Selous	Con	<empty>
1466	Andrew	Murrison	Con	<empty>
1480	Maria	Miller	Con	<empty>
1481	Nadine	Dorries	Con	<empty>
1482	Graham	Stuart	Con	<empty>
1487	Tobias	Ellwood	Con	<empty>
1489	Dawn	Butler	Lab	<empty>
1491	Kerry	McCarthy	Lab	<empty>
1493	Charles	Walker	Con	<empty>
1496	Shailesh	Vara	Con	<empty>
1500	Theresa	Villiers	Con	<empty>
1502	David	Jones	Con	<empty>
1506	Andrew	Gwynne	Lab	<empty>
1508	Geoffrey	Cox	Con	<empty>
1510	Edward	Miliband	Lab	<empty>
1512	David	Mundell	Con	<empty>
1514	Stewart	Hosie	SNP	<empty>
1516	Andy	Slaughter	Lab	<empty>
1520	Mark	Harper	Con	<empty>
1521	Sharon	Hodgson	Lab	<empty>
1522	Adam	Holloway	Con	<empty>
1524	Meg	Hillier	Lab	<empty>
1526	Greg	Hands	Con	<empty>
1528	Mike	Penning	Con	<empty>
1530	James	Brokenshire	Con	<empty>
1533	Diana	Johnson	Lab	<empty>
1536	Emily	Thornberry	Lab	<empty>
1537	Philip	Hollobone	Con	<empty>
1538	Rosie	Cooper	Lab	<empty>
1539	Ben	Wallace	Con	<empty>
1541	Nia	Griffith	Lab	<empty>
1542	Philip	Dunne	Con	<empty>
1545	David	T C Davies	Con	<empty>
1546	Angus	Brendan MacNeil	SNP	<empty>
1548	Jessica	Morden	Lab	<empty>
1554	Stephen	Crabb	Con	<empty>
1559	James	Duddridge	Con	<empty>
1560	Jeremy	Wright	Con	<empty>
1562	Robert	Goodwill	Con	<empty>
1565	Philip	Davies	Con	<empty>
1566	Daniel	Kawczynski	Con	<empty>
1571	Michael	Gove	Con	<empty>
1572	Jeremy	Hunt	Con	<empty>
1576	Mark	Pritchard	Con	<empty>
1578	Greg	Clark	Con	<empty>
1581	Peter	Bone	Con	<empty>
1582	Grant	Shapps	Con	<empty>
1583	Lyn	Brown	Lab	<empty>
1584	John	Penrose	Con	<empty>
1585	Stephen	Hammond	Con	<empty>
1586	Adam	Afriyie	Con	<empty>
1587	Pat	McFadden	Lab	<empty>
1588	Barbara	Keeley	Lab	<empty>
1591	Tim	Farron	LD	<empty>
1593	Sammy	Wilson	DUP	<empty>
1601	Robert	Neill	Con	<empty>
1604	Virendra	Sharma	Lab	<empty>
1605	Edward	Timpson	Con	<empty>
1606	John	Howell	Con	<empty>
1609	Chloe	Smith	Con	<empty>
3912	Richard	Fuller	Con	<empty>
3913	Jack	Dromey	Lab	<empty>
3914	Shabana	Mahmood	Lab	<empty>
3919	Bob	Stewart	Con	<empty>
3922	Conor	Burns	Con	<empty>
3924	Yasmin	Qureshi	Lab	<empty>
3926	Paul	Maynard	Con	<empty>
3928	Nick	Smith	Lab	<empty>
3930	Caroline	Lucas	Green	<empty>
3932	Dan	Poulter	Con	<empty>
3934	George	Eustice	Con	<empty>
3935	Mel	Stride	Con	<empty>
3939	Andrew	Percy	Con	<empty>
3940	Craig	Whittaker	Con	<empty>
3942	John	Stevenson	Con	<empty>
3943	Jonathan	Edwards	PC	<empty>
3944	Simon	Hart	Con	<empty>
3945	Sajid	Javid	Con	<empty>
3948	Rebecca	Harris	Con	<empty>
3950	Tracey	Crouch	Con	<empty>
3952	Toby	Perkins	Lab	<empty>
